Business Name,Industry,Business Size,Website,Social Media,SEO Score,Budget,Goal,Recommended Service
Fadel-Dickens,Travel,Large,False,High,7,754367,Generate Leads,Website Development
Padberg-Ferry,Finance,Medium,False,Medium,6,971357,Improve Online Presence,Website Development
Stracke Group,Finance,Small,True,Low,69,668732,Generate Leads,Social Media Marketing
"Boyer, Langosh and Johnson",Retail,Small,True,Medium,22,545160,Improve Online Presence,SEO
Cremin-Spinka,Healthcare,Small,True,Medium,63,945819,Improve Online Presence,SEO
O'Connell-Smith,Travel,Small,False,Medium,86,475320,Brand Awareness,Website Development
Wilderman-Stanton,IT Services,Medium,False,Low,92,413854,Boost Sales,Website Development
"Abernathy, Cremin and Greenfelder",Finance,Small,False,High,87,968055,Improve Online Presence,Website Development
"Reichert, Wiegand and Bernhard",Education,Small,True,High,40,930734,Brand Awareness,Branding
"Champlin, Schowalter and Waters",IT Services,Medium,False,Low,25,855972,Launch Mobile App,App Development
"Strosin, Simonis and Durgan",Restaurant,Small,True,Low,91,37184,Increase Customers,Branding
Schneider Inc,Education,Medium,False,Medium,19,763454,Launch Mobile App,App Development
Schoen-O'Kon,Restaurant,Medium,True,Medium,92,471928,Increase Website Traffic,SEO
Hilll Group,Manufacturing,Large,False,High,50,544905,Brand Awareness,Website Development
Kertzmann-Rath,Travel,Medium,False,High,30,617072,Brand Awareness,Website Development
"Ondricka, Sawayn and Pfeffer",Education,Large,False,Low,63,538366,Improve Online Presence,Website Development
Green-Torp,Finance,Small,False,Low,47,349024,Brand Awareness,Website Development
"Upton, Schulist and Pagac",Travel,Large,False,High,39,220829,Improve Online Presence,Website Development
Koepp and Sons,Restaurant,Medium,False,Medium,60,328636,Launch Mobile App,App Development
Herman Group,Education,Medium,False,Low,78,84278,Generate Leads,Social Media Marketing
Boehm-Murphy,Manufacturing,Medium,False,Low,23,655381,Brand Awareness,Website Development
Goldner and Sons,Healthcare,Large,True,Medium,18,640989,Increase Website Traffic,SEO
"Krajcik, Feeney and Kiehn",Healthcare,Large,False,Low,73,589535,Brand Awareness,Website Development
Deckow LLC,Education,Small,True,Medium,75,82501,Brand Awareness,Branding
Schaefer Group,Finance,Small,False,High,78,504477,Increase Customers,Website Development
Carroll-Schiller,Education,Large,True,High,18,386522,Increase Customers,SEO
"Rempel, Lind and Streich",Healthcare,Medium,False,High,14,820131,Launch Mobile App,App Development
Gusikowski and Sons,Travel,Medium,True,High,94,165324,Expand Business,Branding
"Purdy, Maggio and Cartwright",E-commerce,Small,False,High,46,378109,Automate Operations,AI Automation
"Rodriguez, Corkery and Dietrich",Finance,Medium,True,Low,38,498357,Launch Mobile App,App Development
Leannon-Cormier,Retail,Small,False,High,75,964475,Expand Business,Website Development
Roberts-Turcotte,Healthcare,Large,False,High,81,558968,Increase Website Traffic,Website Development
"Morar, Mann and Feest",Healthcare,Medium,False,Low,89,958312,Improve Customer Experience,Website Development
"Haag, Kuhlman and Bogisich",Restaurant,Medium,True,Medium,82,339194,Improve Customer Experience,Branding
"Thompson, Dach and Schinner",Real Estate,Large,True,High,65,290483,Brand Awareness,Branding
"Cremin, Effertz and Jacobs",Healthcare,Medium,False,Low,36,968262,Expand Business,Website Development
Reichert-Von,Real Estate,Small,True,Low,32,199788,Launch Mobile App,App Development
"Ledner, Murray and Aufderhar",Manufacturing,Large,False,Low,62,775226,Generate Leads,Website Development
Mohr-Runolfsdottir,Education,Large,False,Medium,39,429553,Brand Awareness,Website Development
Cormier-Keebler,Real Estate,Large,False,Low,33,500356,Increase Website Traffic,Website Development
Sipes LLC,E-commerce,Large,False,High,4,48233,Boost Sales,Branding
"Gleason, Lemke and Kutch",IT Services,Large,True,High,23,520357,Launch Mobile App,App Development
Lakin-Lehner,Healthcare,Medium,True,Low,74,363363,Improve Online Presence,Social Media Marketing
Lindgren-Graham,Manufacturing,Medium,True,Low,64,496860,Generate Leads,Social Media Marketing
"Rodriguez, Rowe and Dare",Retail,Small,False,Medium,31,135442,Increase Website Traffic,Branding
Leannon and Sons,Real Estate,Large,False,Medium,48,234993,Generate Leads,Website Development
Abshire-Feest,Travel,Large,True,Low,28,115994,Generate Leads,SEO
"Hane, McClure and Schmitt",Real Estate,Small,True,High,26,889443,Improve Online Presence,SEO
Hand Group,Healthcare,Medium,False,Medium,3,771591,Launch Mobile App,App Development
"Maggio, Lesch and Kertzmann",Retail,Large,True,Low,43,660354,Brand Awareness,Branding
Ratke Inc,E-commerce,Medium,True,Low,71,666160,Boost Sales,Social Media Marketing
Rice LLC,E-commerce,Medium,True,Low,33,57136,Improve Customer Experience,SEO
"Hyatt, Mann and Collier",Retail,Medium,True,Low,43,471247,Expand Business,Branding
"Pfeffer, Ziemann and Farrell",Restaurant,Medium,True,High,18,481886,Increase Customers,SEO
Graham-Predovic,IT Services,Large,False,Medium,40,552953,Expand Business,Website Development
"Pacocha, Schneider and McDermott",Finance,Medium,True,Medium,95,372967,Increase Customers,Branding
Kutch-Hoeger,Healthcare,Small,False,High,28,443296,Improve Customer Experience,Website Development
Schmeler Group,Restaurant,Small,True,Low,15,815128,Improve Online Presence,SEO
Shields LLC,E-commerce,Small,False,Medium,40,34290,Increase Website Traffic,Branding
Dooley and Sons,Real Estate,Medium,False,High,43,435031,Automate Operations,AI Automation
"VonRueden, Mante and Grady",IT Services,Small,True,High,76,873610,Improve Customer Experience,Branding
Hammes and Sons,Retail,Small,True,Low,21,354749,Increase Customers,SEO
"Herman, Jerde and D'Amore",Finance,Large,True,Low,75,359613,Increase Website Traffic,SEO
Lowe-Hand,Retail,Medium,True,Low,8,934997,Launch Mobile App,App Development
"Klocko, Bashirian and Bayer",Travel,Large,False,Low,64,194009,Increase Customers,Social Media Marketing
Cassin-Nader,Education,Large,True,Medium,57,101292,Automate Operations,AI Automation
Ferry and Sons,Finance,Medium,True,Low,52,676401,Brand Awareness,Branding
Mosciski-Klocko,Restaurant,Medium,True,High,12,996234,Improve Customer Experience,SEO
Sanford Inc,Restaurant,Small,False,Medium,59,897326,Increase Customers,Website Development
Ullrich-Yundt,E-commerce,Medium,True,Low,55,188949,Increase Customers,Branding
Kassulke Group,Retail,Medium,False,High,92,587785,Increase Customers,Website Development
Armstrong-Fahey,IT Services,Small,False,Medium,2,434177,Increase Customers,Website Development
Grant-Nicolas,Real Estate,Large,True,High,13,452939,Expand Business,SEO
Cole Group,Healthcare,Large,False,Low,7,543498,Increase Customers,Website Development
"Bode, Mayer and Douglas",Retail,Small,False,Low,42,111983,Generate Leads,Social Media Marketing
Hansen-Willms,Healthcare,Large,True,Medium,88,946859,Increase Customers,Branding
Smitham and Sons,Manufacturing,Medium,False,Low,44,133452,Increase Customers,Social Media Marketing
"Gottlieb, Schaden and Heidenreich",Retail,Medium,False,Medium,14,686238,Brand Awareness,Website Development
Bergstrom-Medhurst,Retail,Large,True,Medium,26,873554,Increase Customers,SEO
Treutel-Prohaska,Healthcare,Large,True,High,52,558240,Generate Leads,Social Media Marketing
"Schoen, Sipes and Block",Travel,Medium,True,Medium,35,539686,Launch Mobile App,App Development
Legros-Gerhold,Education,Large,True,High,53,406265,Improve Online Presence,SEO
Jakubowski Inc,E-commerce,Medium,True,Medium,63,157042,Generate Leads,Social Media Marketing
Breitenberg-Huels,Finance,Medium,False,High,59,222450,Automate Operations,AI Automation
Wintheiser-Witting,Real Estate,Medium,True,Low,23,854958,Boost Sales,SEO
"Ziemann, Rau and O'Reilly",Finance,Medium,True,Medium,92,896220,Increase Website Traffic,SEO
Boyle and Sons,Education,Large,False,Low,30,807838,Improve Customer Experience,Website Development
Buckridge Inc,Real Estate,Medium,True,High,24,264958,Generate Leads,SEO
"Blick, Wisozk and Koch",E-commerce,Large,False,Low,30,757749,Automate Operations,AI Automation
"Dicki, Veum and Adams",Education,Small,False,Medium,56,297846,Boost Sales,Website Development
Hills LLC,Finance,Small,True,Medium,27,530704,Boost Sales,SEO
Friesen-Streich,Finance,Medium,False,Low,35,195140,Improve Online Presence,Social Media Marketing
Barton-Kulas,Healthcare,Medium,True,Low,96,936104,Improve Online Presence,Social Media Marketing
Parisian-Green,Healthcare,Medium,False,High,81,217731,Automate Operations,AI Automation
"Ullrich, Grimes and Schumm",Healthcare,Large,True,High,21,913633,Boost Sales,SEO
Mueller-Rolfson,Travel,Large,False,High,52,186358,Boost Sales,Branding
Bergnaum LLC,Healthcare,Small,True,Low,67,229111,Boost Sales,Social Media Marketing
"Hegmann, Steuber and Altenwerth",Travel,Large,False,Low,82,114188,Expand Business,Social Media Marketing
Ziemann-Gorczany,Real Estate,Small,False,Medium,23,205827,Improve Online Presence,Website Development
McLaughlin Inc,Healthcare,Small,False,High,87,773811,Launch Mobile App,App Development
"McKenzie, Kris and Little",Finance,Medium,False,Medium,67,261825,Improve Online Presence,Website Development
Herzog Group,Real Estate,Small,True,Medium,92,455265,Boost Sales,Social Media Marketing
Legros LLC,Healthcare,Small,False,Low,62,956124,Expand Business,Website Development
Hahn LLC,IT Services,Medium,False,Low,70,523278,Increase Customers,Website Development
"Waters, Kuhic and DuBuque",Education,Large,False,Low,91,185657,Increase Customers,Social Media Marketing
"Roberts, Jacobi and Vandervort",Travel,Small,False,Medium,64,35082,Improve Customer Experience,Branding
"DuBuque, Dach and Reichel",Healthcare,Medium,True,High,65,873677,Increase Customers,Branding
Marks and Sons,Real Estate,Small,False,High,84,212636,Increase Website Traffic,Website Development
Stark LLC,Restaurant,Small,False,Low,89,709224,Brand Awareness,Website Development
"Balistreri, Marks and Kiehn",E-commerce,Medium,False,Medium,91,68922,Brand Awareness,Branding
"Kuhn, Becker and Ankunding",Manufacturing,Small,False,Low,95,869641,Improve Online Presence,Website Development
Gusikowski Group,Travel,Large,True,Medium,75,834292,Automate Operations,AI Automation
"D'Amore, Lakin and Lebsack",Manufacturing,Medium,False,Medium,20,689116,Launch Mobile App,App Development
Haley and Sons,Healthcare,Small,False,Low,69,930003,Boost Sales,Website Development
Von LLC,E-commerce,Large,True,Low,26,550386,Improve Customer Experience,SEO
"McClure, Shanahan and Morar",Restaurant,Large,False,Medium,53,997188,Improve Online Presence,Website Development
Littel-Okuneva,Retail,Medium,False,Medium,15,720260,Boost Sales,Website Development
Lesch-Murazik,Travel,Small,True,High,64,189617,Generate Leads,Social Media Marketing
"Skiles, Welch and Klein",Restaurant,Small,False,Medium,17,656325,Increase Website Traffic,Website Development
Hoeger Inc,Restaurant,Small,True,High,18,453334,Generate Leads,SEO
Erdman and Sons,Travel,Medium,True,High,79,503291,Improve Online Presence,SEO
Russel-Morar,Retail,Large,True,Medium,56,844996,Expand Business,Branding
Cassin-Johnson,Education,Large,True,Medium,57,802170,Boost Sales,Social Media Marketing
Lind-Hodkiewicz,Finance,Medium,True,High,84,610609,Increase Website Traffic,SEO
"Kris, Lubowitz and Botsford",Manufacturing,Medium,True,High,98,41439,Improve Customer Experience,Branding
Klocko and Sons,Retail,Large,False,Low,17,562209,Improve Customer Experience,Website Development
"Yost, Stokes and Fadel",E-commerce,Medium,True,Medium,93,261143,Improve Customer Experience,Branding
Yost-Schowalter,IT Services,Medium,True,Medium,6,326315,Increase Website Traffic,SEO
"Haley, Wisoky and Metz",Manufacturing,Large,False,High,1,554272,Improve Online Presence,Website Development
"Smith, Bernhard and Reichel",Retail,Small,True,Medium,40,535327,Brand Awareness,Branding
Pagac LLC,Retail,Small,True,Medium,98,796654,Expand Business,Branding
Considine Inc,IT Services,Small,False,Low,34,625382,Increase Customers,Website Development
Schinner-Lubowitz,Finance,Medium,False,Low,53,875784,Improve Online Presence,Website Development
"Kihn, Fadel and Casper",Retail,Small,False,High,31,544349,Improve Online Presence,Website Development
Kuhic-Upton,Finance,Small,True,High,20,838502,Brand Awareness,SEO
Shanahan-Armstrong,Travel,Small,True,Low,4,9838,Launch Mobile App,App Development
"Watsica, Spencer and Rodriguez",Education,Large,False,High,74,764655,Improve Online Presence,Website Development
Kling and Sons,Travel,Small,False,Low,37,640459,Brand Awareness,Website Development
Kuhlman-Dibbert,Travel,Small,False,Medium,12,22651,Increase Website Traffic,Branding
"Kassulke, Trantow and Yost",Restaurant,Medium,False,Low,88,993229,Improve Customer Experience,Website Development
Stoltenberg-Howe,E-commerce,Medium,True,Medium,32,184673,Increase Customers,SEO
Effertz and Sons,Healthcare,Small,False,Low,56,137547,Generate Leads,Social Media Marketing
"Kulas, Lynch and Wisozk",Healthcare,Large,True,Low,5,891764,Automate Operations,AI Automation
Block Group,E-commerce,Medium,False,High,55,221155,Generate Leads,Website Development
"Jacobi, Bayer and Barrows",Manufacturing,Large,True,Low,96,10772,Improve Customer Experience,Branding
Nikolaus-Williamson,IT Services,Small,True,Low,32,808753,Launch Mobile App,App Development
Wuckert-Green,Education,Medium,True,High,86,507944,Increase Customers,Branding
Windler-Wisoky,Travel,Medium,True,Low,73,954576,Increase Website Traffic,SEO
Jacobs-Kirlin,Travel,Medium,True,Low,25,404422,Expand Business,SEO
Hamill and Sons,IT Services,Large,False,Medium,53,762222,Boost Sales,Website Development
"Donnelly, Cronin and Koepp",IT Services,Large,False,Medium,84,25322,Expand Business,Branding
"Windler, Schaefer and Nolan",IT Services,Medium,True,Low,1,754570,Increase Website Traffic,SEO
Quitzon LLC,Finance,Small,True,Medium,12,552742,Increase Customers,SEO
Hansen LLC,Finance,Large,False,Low,93,822170,Launch Mobile App,App Development
Kohler-Boyle,Retail,Medium,False,Low,86,962374,Launch Mobile App,App Development
"Ankunding, Ankunding and MacGyver",IT Services,Medium,False,High,30,680972,Increase Customers,Website Development
Legros-Hessel,E-commerce,Medium,False,Low,61,329167,Boost Sales,Website Development
Lemke-Cummerata,Education,Large,True,Medium,81,250229,Launch Mobile App,App Development
Beier LLC,Retail,Large,True,Low,100,783111,Increase Website Traffic,SEO
MacGyver-Aufderhar,Finance,Large,False,Medium,11,946674,Increase Customers,Website Development
Quigley Group,Travel,Large,True,Low,65,80048,Expand Business,SEO
Bosco Inc,Healthcare,Small,True,High,20,692869,Expand Business,SEO
"Schaden, Reilly and Rosenbaum",Retail,Small,True,Low,25,303907,Improve Online Presence,SEO
Stanton-Christiansen,E-commerce,Small,False,High,39,715444,Expand Business,Website Development
Kling-Swaniawski,Restaurant,Medium,True,Medium,86,652135,Launch Mobile App,App Development
"Ritchie, Crist and Pouros",Healthcare,Medium,True,High,85,72142,Generate Leads,SEO
"Jenkins, Jenkins and O'Conner",Real Estate,Large,False,Low,35,128003,Increase Customers,Social Media Marketing
"Lueilwitz, Mayert and Buckridge",Restaurant,Large,True,Medium,85,130100,Generate Leads,Social Media Marketing
"Treutel, Hamill and Oberbrunner",E-commerce,Medium,False,Low,30,941434,Improve Customer Experience,Website Development
Heidenreich-Hickle,E-commerce,Large,True,High,54,131384,Expand Business,SEO
"Von, Prohaska and Dibbert",Healthcare,Large,True,High,76,789907,Improve Online Presence,SEO
Stark-Crona,Finance,Medium,True,Medium,48,651243,Improve Customer Experience,Branding
Weimann Group,IT Services,Large,False,Medium,63,904789,Improve Online Presence,Website Development
"Quigley, Harris and Stehr",Real Estate,Large,False,Medium,99,776799,Increase Customers,Website Development
"Douglas, Harvey and Lynch",Manufacturing,Small,True,Medium,81,611156,Improve Online Presence,SEO
